iteration,distance,nb_vehicles,time_s
0,5768,100,0.0
1,5656,99,0.00015807151794433594
2,5545,98,0.0002751350402832031
3,5441,97,0.0003523826599121094
4,5337,96,0.0004267692565917969
5,5235,95,0.0005049705505371094
6,5135,94,0.000579833984375
7,5038,93,0.0006546974182128906
8,4944,92,0.000728607177734375
9,4856,91,0.0007982254028320312
10,4769,90,0.0008690357208251953
11,4683,89,0.0009388923645019531
12,4598,88,0.0010073184967041016
13,4517,87,0.001077413558959961
14,4437,86,0.0011472702026367188
15,4359,85,0.0012149810791015625
16,4281,84,0.0012824535369873047
17,4204,83,0.0013515949249267578
18,4128,82,0.0014176368713378906
19,4054,81,0.0014846324920654297
20,3980,80,0.0015523433685302734
21,3907,79,0.0016181468963623047
22,3835,78,0.001688241958618164
23,3764,77,0.0017545223236083984
24,3693,76,0.0018205642700195312
25,3623,75,0.0018873214721679688
26,3553,74,0.0019524097442626953
27,3483,73,0.0020198822021484375
28,3414,72,0.0020825862884521484
29,3346,71,0.002148151397705078
30,3279,70,0.0022139549255371094
31,3212,69,0.0022788047790527344
32,3147,68,0.002341747283935547
33,3083,67,0.002409219741821289
34,3019,66,0.002471446990966797
35,2955,65,0.0025331974029541016
36,2892,64,0.0025947093963623047
37,2830,63,0.0026531219482421875
38,2768,62,0.002715587615966797
39,2708,61,0.002779245376586914
40,2650,60,0.002843141555786133
41,2596,59,0.0029036998748779297
42,2544,58,0.0029625892639160156
43,2494,57,0.003022432327270508
44,2446,56,0.0030825138092041016
45,2400,55,0.003142833709716797
46,2355,54,0.003200054168701172
47,2312,53,0.003262042999267578
48,2269,52,0.003318309783935547
49,2227,51,0.0033800601959228516
50,2185,50,0.0034394264221191406
51,2143,49,0.0034978389739990234
52,2102,48,0.0035581588745117188
53,2061,47,0.003626585006713867
54,2021,46,0.003683328628540039
55,1981,45,0.0037419795989990234
56,1942,44,0.0038216114044189453
57,1904,43,0.0038776397705078125
58,1866,42,0.003944873809814453
59,1829,41,0.004008769989013672
60,1792,40,0.004057645797729492
61,1755,39,0.00410771369934082
62,1718,38,0.004163980484008789
63,1681,37,0.0042188167572021484
64,1645,36,0.004281044006347656
65,1609,35,0.004327535629272461
66,1573,34,0.0043756961822509766
67,1538,33,0.004435062408447266
68,1503,32,0.004482746124267578
69,1468,31,0.004547834396362305
70,1435,30,0.004628419876098633
71,1402,29,0.004696846008300781
72,1369,28,0.004776477813720703
73,1337,27,0.004831790924072266
74,1305,26,0.005112171173095703
75,1274,25,0.005303144454956055
76,1243,24,0.0054759979248046875
77,1212,23,0.005637407302856445
78,1182,22,0.005736351013183594
79,1152,21,0.005807161331176758
80,1122,20,0.005902528762817383
81,1094,19,0.006129741668701172
82,1067,18,0.006280660629272461
83,1041,17,0.006375551223754883
84,1016,16,0.006508350372314453
85,992,15,0.0066411495208740234
86,970,14,0.0067822933197021484
87,950,13,0.0069196224212646484
88,930,12,0.006999969482421875
