iteration,distance,nb_vehicles,time_s
0,2616,50,0.0
1,2540,49,7.343292236328125e-05
2,2473,48,0.0001277923583984375
3,2410,47,0.00018095970153808594
4,2349,46,0.00023317337036132812
5,2290,45,0.0003123283386230469
6,2231,44,0.00035858154296875
7,2173,43,0.0004019737243652344
8,2116,42,0.00044345855712890625
9,2061,41,0.0004885196685791016
10,2006,40,0.0005304813385009766
11,1951,39,0.0005714893341064453
12,1898,38,0.0006108283996582031
13,1846,37,0.0006520748138427734
14,1795,36,0.0006949901580810547
15,1745,35,0.0007367134094238281
16,1696,34,0.0007793903350830078
17,1647,33,0.0008206367492675781
18,1600,32,0.000888824462890625
19,1554,31,0.0009500980377197266
20,1512,30,0.0010118484497070312
21,1472,29,0.0010826587677001953
22,1434,28,0.001132965087890625
23,1397,27,0.0011749267578125
24,1362,26,0.0012183189392089844
25,1331,25,0.00130462646484375
26,1301,24,0.0013530254364013672
27,1275,23,0.0014371871948242188
28,1249,22,0.0014736652374267578
29,1223,21,0.001516103744506836
30,1201,20,0.0015981197357177734
31,1179,19,0.0016376972198486328
32,1162,18,0.0017583370208740234
33,1146,17,0.0017971992492675781
34,1134,16,0.0018956661224365234
35,1126,15,0.0020008087158203125
