iteration,distance,nb_vehicles,time_s
0,6606,100,0.0
1,6494,99,0.00016427040100097656
2,6387,98,0.0002849102020263672
3,6285,97,0.0003707408905029297
4,6185,96,0.00044918060302734375
5,6088,95,0.0005383491516113281
6,5994,94,0.0006203651428222656
7,5901,93,0.0006949901580810547
8,5808,92,0.0007944107055664062
9,5720,91,0.0008714199066162109
10,5632,90,0.0009419918060302734
11,5545,89,0.0010175704956054688
12,5459,88,0.001088857650756836
13,5374,87,0.0011584758758544922
14,5289,86,0.0012254714965820312
15,5205,85,0.0012917518615722656
16,5124,84,0.0013623237609863281
17,5044,83,0.0014300346374511719
18,4966,82,0.001497507095336914
19,4889,81,0.001569986343383789
20,4813,80,0.0016360282897949219
21,4738,79,0.0017256736755371094
22,4664,78,0.0017933845520019531
23,4591,77,0.0018646717071533203
24,4518,76,0.0019299983978271484
25,4445,75,0.001995563507080078
26,4373,74,0.0020678043365478516
27,4301,73,0.0021305084228515625
28,4229,72,0.002196073532104492
29,4158,71,0.0022630691528320312
30,4088,70,0.0023310184478759766
31,4018,69,0.0024061203002929688
32,3948,68,0.0024788379669189453
33,3879,67,0.0025489330291748047
34,3810,66,0.0026106834411621094
35,3741,65,0.002675294876098633
36,3672,64,0.0027420520782470703
37,3604,63,0.0028078556060791016
38,3537,62,0.0028748512268066406
39,3472,61,0.002973794937133789
40,3407,60,0.003038644790649414
41,3343,59,0.0031058788299560547
42,3282,58,0.0032241344451904297
43,3221,57,0.003283977508544922
44,3161,56,0.0033502578735351562
45,3101,55,0.003416299819946289
46,3042,54,0.003493785858154297
47,2988,53,0.003629446029663086
48,2936,52,0.003712892532348633
49,2886,51,0.0038013458251953125
50,2836,50,0.003860950469970703
51,2788,49,0.003968238830566406
52,2741,48,0.004038333892822266
53,2700,47,0.004220008850097656
54,2659,46,0.0042726993560791016
55,2618,45,0.004334688186645508
56,2579,44,0.004430294036865234
57,2541,43,0.004529476165771484
58,2503,42,0.004615306854248047
59,2466,41,0.004694223403930664
60,2429,40,0.004753828048706055
61,2393,39,0.004843950271606445
62,2359,38,0.004957437515258789
63,2325,37,0.005018949508666992
64,2294,36,0.005188703536987305
65,2264,35,0.0052912235260009766
66,2235,34,0.005375385284423828
67,2207,33,0.0054302215576171875
68,2179,32,0.0055239200592041016
69,2151,31,0.005613088607788086
70,2125,30,0.005724430084228516
71,2102,29,0.005909442901611328
72,2080,28,0.006000518798828125
73,2061,27,0.006171464920043945
74,2043,26,0.006300687789916992
75,2027,25,0.0064465999603271484
76,2012,24,0.006518363952636719
